generation,deck_uid,win_rate
0,aAveapApxBfdntlikqnulmEvDfsqpn,1
0,naqxqcfyetuojtfionjtAucuAzoato,1
0,jgBhxiotsgdyewDmzgxAczsosznnCx,0
0,jBltDzrmpzADwvhyugsnkthAdADrEj,0
0,wuAEeqbjnmdbmqAlyjtiyhpineuhlv,1
0,ugzckCzEBrttaqtCDhtjDCmbicBvnv,1
0,DlvbpaDdxhkcnjdiwiihdEcmlxhyqt,1
0,smptjkEjefpaefhfAvEsqlhuBowByw,3
0,EuqrmsCjxlwtBrnutfzhospoabzDpo,2
0,jDBjxzvuslBzgsmBihybnExsehfbcu,1
0,egkndyrmdyyaesjzdqamndddDeqiqp,0
0,tkoaldozfEeybikjwqjjEqAxfDusxr,2
0,ylkwtrAwtfswxzkBEEtmitclduBaik,1
0,DpDslgfqficcfEgkvzchkavxhEqntx,3
0,qwgyvcgrseErpexqkAspxkiutppdrk,2
0,jozACerhybtoCEnswsxkBcuplwtwnz,2
0,lmEbCvjombdhqtupAtBCisckguqzzB,1
0,BjeDqbgcdzvvAldclsqwAnoBhobxAo,1
0,AaytxxsCrrvlDivAquCxEBdypCevvf,0
0,yAdljClbaznquArDsudnbgliaxfeBm,0
0,bkEBlsyczmifkikcybdwhxguocCDmA,4
0,ccmrjEAzkqdswcevfCmhvBoAtbdnEB,1
0,sdtcwxvbuhtxfDwlxkjjmdClxfzycv,1
0,bzfuElvyocvkknevsAcbunEwdirnyC,5
0,pACEpjkgapDABzjgigzevaEdxAdDdn,1
0,vAgEusjoCqCguzyyzDEkErDAuDBupj,0
0,eyyoqukwfmduvhkbmyotpAfAwazfEv,0
0,DwzwlvlqhtmkkEaECdmkldafluemuj,0
0,obyfdtdugpjhvyjadpxhwrBkbmxgsi,0
0,asfcimqaufyyDDBxCADwfvnaCweCfb,0
0,naluzibgryscqggAvqDdmhyzcmvDBD,1
0,yAcDteqlcjeDybmcEmaBbnuhvycwzr,2
0,oAxsmheimBBwauewamDAtktzbsydDC,2
0,DqcfgcnDrwtibcemqctmpfmgqqdgwr,5
0,osfjbfvyDvoqDcupmwjBpljfbbAzyj,1
0,bbwwdyxdugkptvbBEAvqzaqemuEBbx,1
0,AiwrtjmCmEtfvxCDiBvqzbcbBuxqeu,0
0,bwuaizvEczhluacwyquvuddsnkzBse,1
0,ftlmCaqpiuznrwhromhpqAotplEalr,1
0,yEfyijvDlnpwcButolzDzdxEhmhmjq,0
0,xvtjrnyagDEiClxAtlCstyAhcdnEzt,0
0,vpxlCtiwbbnhAomvgcjjBkdrcuyxhD,3
0,veuohDtflcCjBpdfAyszthoCgbhodo,1
0,BtnEDxdikhqseAxudcAAxuAxuwsCEq,0
0,cChvuptpxtoanyEvgfDfgkmCqBphtj,1
0,bbxkhwvnnyogwgaxafvddvArcyAptm,0
0,spscxnaqEssbeDCnmgrltuuuorakqi,5
0,iyDqjaxvqkCnuayBucjjfDuAgizadg,0
0,iyCzljhnpqneEsDusypottnibsuCdx,0
0,CdcczibatgoseiECCxjydnabdekftl,0
0,dblgywythniepuuAgCqblqwaxovEsa,2
0,ztlhliamjedtEgeoxzgdpqnlABEgeD,2
0,fjdjaDqnfcayvbzCjzfhAkmiCnuftu,1
0,zhAAxtdseCErszBouxlpoBDgAcvllp,0
0,vuassEhepukAtckjCoAgyggvfnpsqs,3
0,EbtksExkBqquhhfBqtsdikqCwylfar,1
0,Cnrdxxchmezkfyaazazpbaacqjqxah,1
0,ubmCiDEzlgxyCBjvgEehCeEAlAlbxy,0
0,vxnixAAncndvDxEjCehrDoDtakcaDk,1
0,noietfCBwhjqvjwhuaCxonCqjepesb,5
